2.8594 	ERROR 	avbin.dll failed to load. Try importing psychopy.visual
  as the first library (before anything that uses scipy)
  and make sure that avbin is installed.
13.4932 	EXP 	window1: blendMode = 'avg'
13.5099 	EXP 	window1: blendMode = 'avg'
13.5102 	EXP 	window1: blendMode = 'avg'
13.5267 	EXP 	window1: blendMode = 'avg'
13.5270 	EXP 	window1: blendMode = 'avg'
13.5434 	EXP 	window1: blendMode = 'avg'
13.5438 	EXP 	window1: blendMode = 'avg'
13.5597 	EXP 	window1: blendMode = 'avg'
13.5599 	EXP 	window1: blendMode = 'avg'
13.5763 	EXP 	window1: blendMode = 'avg'
13.5765 	EXP 	window1: blendMode = 'avg'
13.5926 	EXP 	window1: blendMode = 'avg'
13.5928 	EXP 	window1: blendMode = 'avg'
13.6094 	EXP 	window1: blendMode = 'avg'
13.6097 	EXP 	window1: blendMode = 'avg'
13.6260 	EXP 	window1: blendMode = 'avg'
13.6263 	EXP 	window1: blendMode = 'avg'
13.6430 	EXP 	window1: blendMode = 'avg'
13.6432 	EXP 	window1: blendMode = 'avg'
13.6592 	EXP 	window1: blendMode = 'avg'
13.6594 	EXP 	window1: blendMode = 'avg'
13.6758 	EXP 	window1: blendMode = 'avg'
13.6760 	EXP 	window1: blendMode = 'avg'
13.6923 	EXP 	window1: blendMode = 'avg'
13.6926 	EXP 	window1: blendMode = 'avg'
13.7091 	EXP 	window1: blendMode = 'avg'
13.7093 	EXP 	window1: blendMode = 'avg'
13.7272 	EXP 	window1: blendMode = 'avg'
13.7275 	EXP 	window1: blendMode = 'avg'
13.7436 	EXP 	window1: blendMode = 'avg'
13.7439 	EXP 	window1: blendMode = 'avg'
13.7595 	EXP 	window1: blendMode = 'avg'
13.7598 	EXP 	window1: blendMode = 'avg'
13.7762 	EXP 	window1: blendMode = 'avg'
13.7765 	EXP 	window1: blendMode = 'avg'
13.7923 	EXP 	window1: blendMode = 'avg'
13.7926 	EXP 	window1: blendMode = 'avg'
13.8093 	EXP 	window1: blendMode = 'avg'
13.8096 	EXP 	window1: blendMode = 'avg'
13.8262 	EXP 	window1: blendMode = 'avg'
13.8265 	EXP 	window1: blendMode = 'avg'
13.8426 	EXP 	window1: blendMode = 'avg'
13.8429 	EXP 	window1: blendMode = 'avg'
13.8592 	EXP 	window1: blendMode = 'avg'
13.8595 	EXP 	window1: blendMode = 'avg'
13.8766 	EXP 	window1: blendMode = 'avg'
13.8771 	EXP 	window1: blendMode = 'avg'
13.8932 	EXP 	window1: blendMode = 'avg'
13.8934 	EXP 	window1: blendMode = 'avg'
13.9097 	EXP 	window1: blendMode = 'avg'
13.9100 	EXP 	window1: blendMode = 'avg'
13.9266 	DATA 	Keypress: 1
13.9274 	EXP 	New trial (rep=0, index=1): {'corrResp': 0, 'xpos': 0.25}
13.9397 	EXP 	window1: blendMode = 'avg'
13.9404 	EXP 	window1: blendMode = 'avg'
13.9526 	EXP 	Fixation: autoDraw = False
